lexical_item	suggested_target_label	suggested_ipa	dominant_surface_seg_label	dominant_count	candidate_count	total_count	candidate_surface_seg_counts	surface_seg_counts	example_recordings
dörr	ö:	øː	ö:	92	114	1141	ö::92; Ö::21; E::1	o_e:531; Ö:313; ö::92; 9:37; o_e::30; O_E:29; Ö::21; ö:18; O:17; ö:a:10; yo_e:7; E:7; o-e:5; U:5; y:4; A:4; yö:4; a:4; o_E:1; ö:E:1; E::1	are_ym_2, are_ym_3, arjeplog_ym_1, aspas_ym_1, aspas_ym_3, berg_ym_2, berg_ym_3, burtrask_ym_1
ludd	u:	uː	u:	21	26	1063	u::21; o::5	O_E:582; U:242; u:139; u0:44; u::21; O:10; E:10; o_e:6; o::5; O_E::4	ovanaker_ym_1, ovanaker_ym_2, storsjo_ym_1, strom_ym_3
flytta	ö:	øː	ö:	10	23	1154	ö::10; y::9; Ö::4	y:1046; o_e:23; U:15; ö:15; O_E:13; Ö:11; ö::10; y::9; Ö::4; Y:4; o_e::3; E:1	strom_ym_1, strom_ym_2
där	ä:	æː	Ä:	22	23	23	Ä::22; ä::1	Ä::22; ä::1	anundsjo_ym_2, munsala_ym_1, munsala_ym_2, munsala_ym_3
blött	ö:	øː	ö:	18	18	1077	ö::18	ö:444; o_e:393; Ö:97; O:39; E:23; ö::18; U:14; a:10; o_ey:9; 2:6; O_E:5; yö:5; öi:4; o_e::4; ai:3; A:2; o_ei:1	hamneda_ym_2, munsala_ym_2, orust_ym_3, vemdalen_ym_1, vora_ym_1, vora_ym_2, vora_ym_3
stjäla	e:	eː	e:	10	16	16	e::10; ä::6	e::10; ä::6	fole_ym_1, sproge_ym_2, sproge_ym_3
gräs	ä:	æː	Ä:	10	15	15	Ä::10; ä::5	Ä::10; ä::5	munsala_ym_1, munsala_ym_2
lätt	e:	eː	e:	9	14	601	e::9; ä::5	ä:495; e:57; Ä:27; e::9; ä::5; o_e:4; E:2; I:2	vora_ym_1, vora_ym_2
bär	ä:	æː	Ä:	12	12	12	Ä::12	Ä::12	brando_ym_3, dragsfjard_ym_1, dragsfjard_ym_2, dragsfjard_ym_3
nytt	y:	yː	y:	11	11	41	y::11	y:29; y::11; i:1	vora_ym_1, vora_ym_2, vora_ym_3
brott	o:	oː	o:	10	10	39	o::10	O:26; o::10; o:3	munsala_ym_2, munsala_ym_3
dis	e:	eː	e:	8	9	1051	e::8; ö::1	i::914; I::125; e::8; I:2; ö::1; i:1	bara_ym_1, loderup_ym_3, saltvik_ym_1, saltvik_ym_3
stor	o:	oː	o:	7	7	10	o::7	o::7; Ou::3	dragsfjard_ym_1, dragsfjard_ym_2
son	o:	oː	o:	7	7	9	o::7	o::7; O_E::2	skee_ym_1, tjallmo_ym_3
sytt	ö:	øː	ö:	5	5	1047	ö::5	y:966; U:36; Y:12; i:11; o_e:8; ö::5; Öu:2; ö:2; O:2; Ö:1; e:1; ä:1	vemdalen_ym_3
rysk	y:	yː	y:	5	5	39	y::5	y:34; y::5	munsala_ym_1
lova	ö:	øː	ö:	4	5	5	ö::4; o::1	ö::4; o::1	skee_ym_1
såll	o:	oː	o:	4	4	1021	o::4	O:835; o:148; ö:14; u:13; o::4; A:2; O_E:2; Ö:2; o_e:1	haraker_ym_2
kaka	A:	ɑː	A:	4	4	4	A::4	A::4	v_vingaker_ym_1
lät	o:	oː	o:	3	3	9	o::3	uo:5; o::3; o:1	munsala_ym_2
rev	e:	eː	e:	3	3	3	e::3	e::3	dragsfjard_ym_3
söma	ö:	øː	ö:	3	3	3	ö::3	ö::3	dragsfjard_ym_3
